Id,SalePrice,OverallQual,GrLivArea,FullBath,YearBuilt,GarageCars,GarageArea,ExterQual,BsmtQual
1,208500.0,7,1710,2,2003,2.0,548.0,2,2
2,181500.0,6,1262,2,1976,2.0,460.0,3,2
3,223500.0,7,1786,2,2001,2.0,608.0,2,2
4,140000.0,7,1717,1,1915,3.0,642.0,3,3
5,250000.0,8,2198,2,2000,3.0,836.0,2,2
6,143000.0,5,1362,1,1993,2.0,480.0,3,2
7,307000.0,8,1694,2,2004,2.0,636.0,2,0
8,200000.0,7,2090,2,1973,2.0,484.0,3,2
9,129900.0,7,1774,2,1931,2.0,468.0,3,3
10,118000.0,5,1077,1,1939,1.0,205.0,3,3
11,129500.0,5,1040,1,1965,1.0,384.0,3,3
12,345000.0,9,2324,3,2005,3.0,736.0,0,0
13,144000.0,5,912,1,1962,1.0,352.0,3,3
14,279500.0,7,1494,2,2006,3.0,840.0,2,2
15,157000.0,6,1253,1,1960,1.0,352.0,3,3
16,132000.0,7,854,1,1929,2.0,576.0,3,3
17,149000.0,6,1004,1,1970,2.0,480.0,3,3
18,90000.0,4,1296,2,1967,2.0,516.0,3,4
19,159000.0,5,1114,1,2004,2.0,576.0,3,3
20,139000.0,5,1339,1,1958,1.0,294.0,3,3
21,325300.0,8,2376,3,2005,3.0,853.0,2,0
22,139400.0,7,1108,1,1930,1.0,280.0,3,3
23,230000.0,8,1795,2,2002,2.0,534.0,2,2
24,129900.0,5,1060,1,1976,2.0,572.0,3,2
25,154000.0,5,1060,1,1968,1.0,270.0,3,3
26,256300.0,8,1600,2,2007,3.0,890.0,2,2
27,134800.0,5,900,1,1951,2.0,576.0,3,3
28,306000.0,8,1704,2,2007,3.0,772.0,2,0
29,207500.0,5,1600,1,1957,1.0,319.0,3,3
30,68500.0,4,520,1,1927,1.0,240.0,3,3
31,40000.0,4,1317,1,1920,1.0,250.0,3,3
32,149350.0,5,1228,1,1966,1.0,271.0,3,3
33,179900.0,8,1234,2,2007,2.0,484.0,2,0
34,165500.0,5,1700,1,1959,2.0,447.0,3,3
35,277500.0,9,1561,2,2005,2.0,556.0,0,0
36,309000.0,8,2452,3,2004,3.0,691.0,2,0
